Q/C,Timestamp,10K,50K,100K,150K,500K,1M,5M,30M,50M,100M
Qualified,20241011143100,3.047,5.047,7.1352,4.523,13.523,1.1454,21.1454,8.105,8.105,30.305
Qualified,20241011143100,3.047,5.047,7.1352,4.523,13.523,1.1454,21.1454,8.105,8.105,30.305
Qualified,20241011143100,3.047,5.047,7.1352,4.523,13.523,1.1454,21.1454,8.105,8.105,30.305
Qualified,20241011143101,3.047,5.047,7.1352,4.523,13.523,1.1454,21.1454,8.105,8.105,30.305
Qualified,20241011143101,3.047,5.047,7.1352,4.523,13.523,1.1454,21.1454,8.105,8.105,30.305
Qualified,20241011143101,3.047,5.047,7.1352,4.523,13.523,1.1454,21.1454,8.105,8.105,30.305
Qualified,20241011143101,3.047,5.047,7.1352,4.523,13.523,1.1454,21.1454,8.105,8.105,30.305
Qualified,20241011143101,3.047,5.047,7.1352,4.523,13.523,1.1454,21.1454,8.105,8.105,30.305
Qualified,20241011143101,3.047,5.047,7.1352,4.523,13.523,1.1454,21.1454,8.105,8.105,30.305
Qualified,20241014114542,3.047,5.1495,7.1352,9.523,12.33,17.1454,19.039,20.105,23.205,30.305
Qualified,20241014114557,3.047,5.1495,7.1352,9.523,12.33,17.1454,19.039,20.105,23.205,30.305
Qualified,20241014114558,3.047,5.1495,7.1352,9.523,12.33,17.1454,19.039,20.105,23.205,30.305
Qualified,20241014131017,3.047,5.1495,7.1352,9.523,12.33,17.1454,19.039,20.105,23.205,30.305
Qualified,20241014131017,3.047,5.1495,7.1352,9.523,12.33,17.1454,19.039,20.105,23.205,30.305
Qualified,20241014131017,3.047,5.1495,7.1352,9.523,12.33,17.1454,19.039,20.105,23.205,30.305
