Q/C,Timestamp,50K,88K,150K,80M,90M,99M,100M,110M
Qualified,20241014131148,5.1495,2,9.523,38,40,24,30,1
Qualified,20241014131148,5.1495,2,9.523,38,40,24,30,1
Qualified,20241014131200,5.1495,2,9.523,38,40,24,30,1
Qualified,20241014131201,5.1495,2,9.523,38,40,24,30,1
Qualified,20241014131201,5.1495,2,9.523,38,40,24,30,1
Qualified,20241014143438,5.1495,2,9.523,38,40,24,30,1
Qualified,20241014150357,5.1495,2,9.523,38,40,24,30,1
Qualified,20241014150358,5.1495,2,9.523,38,40,24,30,1
Qualified,20241014150358,5.1495,2,9.523,38,40,24,30,1
Qualified,20241014160210,5.1495,2,9.523,38,40,24,30,1
Qualified,20241014160212,5.1495,2,9.523,38,40,24,30,1
Qualified,20241014160214,5.1495,2,9.523,38,40,24,30,1
Qualified,20241014160220,5.1495,2,9.523,38,40,24,30,1
