Q/C,Timestamp,10K,20K,30K
Qualified,20241014133422,1,2,3
Qualified,20241014133423,1,2,3
Qualified,20241014133423,1,2,3
Qualified,20241014133424,1,2,3
Qualified,20241014133424,1,2,3
Qualified,20241014133424,1,2,3
Qualified,20241014150411,1,2,3
Qualified,20241014150431,11,21,3.5
Qualified,20241014150434,11,21,3.5
Qualified,20241014150434,11,21,3.5
Qualified,20241014150827,11,21,3.5
Qualified,20241014150828,11,21,3.5
Qualified,20241014150832,11,21,3.5
Qualified,20241014150832,11,21,3.5
Qualified,20241014150832,11,21,3.5
